alpha,family,K,order,steps,m,samples,rotations,twoq,trace_distance,infidelity,seconds
3.0,trotter,400,2,1,0,0,800,2812,0.012748153153550964,0.00016251540882639137,0.018931865692138672
3.0,trotter,400,2,2,0,0,1600,5624,0.0023005667284631322,5.29260727211156e-06,0.036187171936035156
3.0,trotter,400,2,3,0,0,2400,8436,0.0009722890395292044,9.453459763886229e-07,0.05353093147277832
3.0,trotter,400,2,4,0,0,3200,11248,0.0005376644279324003,2.890830370638753e-07,0.07080912590026855
3.0,trotter,400,2,6,0,0,4800,16872,0.0002361049405656447,5.574554295950662e-08,0.10851311683654785
3.0,trotter,400,2,8,0,0,6400,22496,0.00013224796719944174,1.7489524828384617e-08,0.1470320224761963
3.0,trotter,400,2,12,0,0,9600,33744,5.857129583343962e-05,3.430596695608301e-09,0.21893000602722168
3.0,trotter,400,2,16,0,0,12800,44992,3.2846641483470445e-05,1.0789018567436415e-09,0.28421568870544434
3.0,trotter,400,2,24,0,0,19200,67488,1.4334196775961416e-05,2.0546919721198265e-10,0.4274630546569824
3.0,trotter,400,2,32,0,0,25600,89984,7.514633576610318e-06,5.646971779071919e-11,0.5784611701965332
3.0,trotter,400,2,48,0,0,38400,134976,0.0,-3.5136338283336954e-12,0.8568542003631592
3.0,trotter,400,2,64,0,0,51200,179968,0.0,-1.8334223028659835e-11,1.1626429557800293
3.0,trotter,400,2,96,0,0,76800,269952,0.0,-3.293054717801169e-11,1.7365999221801758
3.0,trotter,400,2,128,0,0,102400,359936,0.0,-4.475397830105976e-11,2.28580904006958
3.0,trotter,400,4,1,0,0,4000,14060,0.0010360865375034043,1.073475313195793e-06,0.09029006958007812
3.0,trotter,400,4,2,0,0,8000,28120,4.373429631434054e-05,1.912688674110541e-09,0.18387508392333984
3.0,trotter,400,4,3,0,0,12000,42180,7.800967807777991e-06,6.085509873798856e-11,0.2699391841888428
3.0,trotter,400,4,4,0,0,16000,56240,0.0,-6.727951529228449e-13,0.3599698543548584
3.0,trotter,400,4,6,0,0,24000,84360,0.0,-1.0301093311682052e-11,0.5357918739318848
3.0,trotter,400,4,8,0,0,32000,112480,0.0,-1.4107381929306939e-11,0.7150149345397949
3.0,trotter,400,4,12,0,0,48000,168720,0.0,-2.1093349289458274e-11,1.0651869773864746
3.0,trotter,400,4,16,0,0,64000,224960,0.0,-2.8064217616474707e-11,1.4364039897918701
3.0,qdrift,0,1,1,100,100,100,399.72106755123707,0.01132653307288023,0.010365113119734093,38.766196966171265
3.0,qdrift,0,1,1,316,316,316,1263.1185734619091,0.0036113863674445425,0.0033007553973296577,8.910767078399658
3.0,qdrift,0,1,1,1000,1000,1000,3997.210675512371,0.0011439266613755003,0.0010450964015596975,10.248135805130005
