a,kt,gamma,R,neg,margin
0.5,0.0,0.0,0.41321211119293455,0.3666060555964674,-0.4733939444035329
0.5,0.025,0.024690087971667385,0.3862005266775004,0.3431299650756833,-0.42619162226281876
0.5,0.05,0.048770575499285984,0.3600378732329115,0.32108598460120685,-0.3828783200688235
0.5,0.07500000000000001,0.07225651367144714,0.33456261485920935,0.300327540493174,-0.34315542504295704
0.5,0.1,0.09516258196404048,0.30963371464870915,0.2807316955708108,-0.3067465491150358
0.5,0.125,0.11750309741540454,0.2851286206967818,0.26219543618908503,-0.27339589919368285
0.5,0.15000000000000002,0.1392920235749422,0.26094142624937433,0.24463240224563698,-0.24286676607310836
0.5,0.17500000000000002,0.16054297923079264,0.23698119002356477,0.2279700510571454,-0.2149401233717121
0.5,0.2,0.18126924692201818,0.21317040372760676,0.2121472285903161,-0.18941332852086468
0.5,0.225,0.20148378124062294,0.18944359481464756,0.1971121115517649,-0.16609891840012037
0.5,0.25,0.22119921692859512,0.16574605343571092,0.18282047934617274,-0.14482349275115336
0.5,0.275,0.24042787677503152,0.14203267341834902,0.16923427419834236,-0.1254266790000347
0.5,0.30000000000000004,0.2591817793182821,0.1182668978928203,0.15632040944069447,-0.10776017257877882
0.5,0.325,0.2774726463579278,0.09441976092262494,0.14404978907662036,-0.091686847265053
0.5,0.35000000000000003,0.29531191028128656,0.07046901717525089,0.1323965055253773,-0.0770799304559216
0.5,0.375,0.31271072120902776,0.046398352296247225,0.12133718645764824,-0.06382223865979705
0.5,0.4,0.3296799539643607,0.02219666722907454,0.11085046554255373,-0.05180546883237511
0.5,0.42500000000000004,0.3462302148701527,0.0,0.10091655557411439,-0.040929541499265504
0.5,0.45,0.36237184837822667,0.0,0.09151690574132798,-0.03110199190199947
0.5,0.47500000000000003,0.37811494353498,0.0,0.08263392772115985,-0.022237405676816174
0.5,0.5,0.3934693402873666,0.0,0.07425077781204892,-0.014256895828596905
0.5,0.525,0.4084446356331849,0.0,0.06635118451135424,-0.007087617996998835
0.5,0.55,0.42305018961951335,0.0,0.058919312807296564,-0.0006623212295108205
0.5,0.5750000000000001,0.4372951311930443,0.01016213664379606,0.05193965804188139,0.005081068321898086
0.5,0.6000000000000001,0.4511883639059736,0.020399666353132062,0.04539696354288714,0.010199833176566087
0.5,0.625,0.4647385714810097,0.029493643991248097,0.039276157354348085,0.014746821995624049
0.5,0.65,0.47795422323898396,0.037541561616531105,0.03356230434629781,0.018770780808265608
0.5,0.675,0.4908435793924508,0.044633319810761796,0.028240570781414176,0.02231665990538091
0.5,0.7000000000000001,0.5034146962085906,0.05085179634688419,0.023296199079921642,0.025425898173442055
0.5,0.7250000000000001,0.5156754310446376,0.05627337302577984,0.01871449107155876,0.028136686512889933
0.5,0.75,0.5276334472589853,0.06096842373187883,0.014480798467873202,0.03048421186593936
0.5,0.775,0.5392962190010342,0.06500176653606804,0.01058051963990847,0.03250088326803406
0.5,0.8,0.5506710358827784,0.06843308246902469,0.006999102053393602,0.03421654123451237
0.5,0.8250000000000001,0.5617650075350509,0.07131730339761821,0.003722049902751934,0.03565865169880909
0.5,0.8500000000000001,0.5725850680512734,0.07370497126036657,0.0007349366028628346,0.03685248563018327
0.5,0.875,0.5831379803214916,0.07564257075405223,4.440892098500626e-16,0.037821285377026115
0.5,0.9,0.5934303402594009,0.07717283741160119,2.220446049250313e-16,0.03858641870580057
0.5,0.925,0.6034685809250071,0.07833504287034687,2.220446049250313e-16,0.03916752143517346
0.5,0.9500000000000001,0.6132589765454988,0.07916525899902815,5.551115123125783e-16,0.03958262949951406
0.5,0.9750000000000001,0.622807646436843,0.0796966024305743,4.440892098500626e-16,0.03984830121528716
0.5,1.0,0.6321205588285577,0.07995946093523632,1.1102230246251565e-16,0.039979730467618185
0.5,1.0250000000000001,0.6412035345940484,0.07998170296427043,6.661338147750939e-16,0.03999085148213525
0.5,1.05,0.6500622508888447,0.07978887159760295,6.661338147750939e-16,0.039894435798801524
0.5,1.075,0.6587022446990063,0.07940436403914286,4.440892098500626e-16,0.03970218201957138
0.5,1.1,0.6671289163019205,0.07884959772015021,9.992007221626409e-16,0.039424798860075105
0.5,1.125,0.6753475326416503,0.07814416399386026,3.3306690738754696e-16,0.03907208199693009
0.5,1.1500000000000001,0.6833632306209468,0.07730597033294062,4.440892098500626e-16,0.038652985166470366
0.5,1.175,0.6911810203119801,0.076351371874948,4.440892098500626e-16,0.03817568593747396
0.5,1.2000000000000002,0.698805788087798,0.07529529309934291,4.440892098500626e-16,0.037647646549671426
0.5,1.225,0.7062422996764672,0.07415134036250559,8.881784197001252e-16,0.03707567018125284
0.5,1.25,0.7134952031398099,0.0729319059641973,4.440892098500626e-16,0.0364659529820986
0.5,1.2750000000000001,0.7205690317785927,0.07164826436978955,3.3306690738754696e-16,0.03582413218489475
0.5,1.3,0.7274682069659875,0.07031066116701101,2.220446049250313e-16,0.03515533058350545
0.5,1.3250000000000002,0.7341970409110734,0.0689283952937001,5.551115123125783e-16,0.03446419764684999
0.5,1.35,0.7407597393541085,0.06750989503386906,3.3306690738754696e-16,0.0337549475169345
0.5,1.375,0.7471604041952535,0.06606278824304024,2.220446049250313e-16,0.03303139412152013
0.5,1.4000000000000001,0.7534030360583935,0.06459396723011235,2.220446049250313e-16,0.032296983615056216
0.5,1.425,0.7594915367916579,0.06310964869177038,4.440892098500626e-16,0.031554824345885205
0.5,1.4500000000000002,0.7654297119062023,0.06161542906646589,2.220446049250313e-16,0.030807714533232923
0.5,1.475,0.7712212729547776,0.06011633564812935,7.771561172376096e-16,0.030058167824064716
0.5,1.5,0.7768698398515702,0.058616873774855804,6.661338147750939e-16,0.029308436887427902
0.5,1.5250000000000001,0.7823789431347672,0.05712107038469871,2.220446049250313e-16,0.028560535192349405
0.5,1.55,0.7877520261732569,0.05563251420929349,0.0,0.027816257104646757
0.5,1.5750000000000002,0.7929924473188474,0.054154392856152755,3.3306690738754696e-16,0.027077196428076412
0.5,1.6,0.7981034820053446,0.05268952701207841,4.440892098500626e-16,0.026344763506039256
0.5,1.625,0.8030883247958059,0.05124040198304214,3.3306690738754696e-16,0.025620200991521076
0.5,1.6500000000000001,0.8079500913792459,0.049809196770065345,3.3306690738754696e-16,0.02490459838503268
0.5,1.675,0.812691820518043,0.048397810865949964,9.992007221626409e-16,0.024198905432974968
0.5,1.7000000000000002,0.8173164759472654,0.047007888944100795,4.440892098500626e-16,0.023503944472050425
0.5,1.725,0.8218269482271016,0.0456408435980713,3.3306690738754696e-16,0.02282042179903567
0.5,1.75,0.8262260565495548,0.04429787627876203,2.220446049250313e-16,0.02214893813938104
0.5,1.7750000000000001,0.83051655050053,0.04297999656536966,4.440892098500626e-16,0.021489998282684802
0.5,1.8,0.8347011117784134,0.04168803989612635,2.220446049250313e-16,0.020844019948063182
0.5,1.8250000000000002,0.8387823558702232,0.04042268387556036,3.3306690738754696e-16,0.02021134193778023
0.5,1.85,0.8427628336863724,0.03918446326637026,6.661338147750939e-16,0.019592231633185124
0.5,1.875,0.8466450331550716,0.0379737837660028,4.440892098500626e-16,0.01898689188300144
0.5,1.9000000000000001,0.8504313807773649,0.03679093466061012,2.220446049250313e-16,0.01839546733030507
0.5,1.925,0.8541242431437727,0.03563610044217902,2.220446049250313e-16,0.017818050221089482
0.5,1.9500000000000002,0.8577259284134865,0.03450937146826316,8.881784197001252e-16,0.01725468573413154
0.5,1.975,0.8612386877570448,0.03341075373783475,3.3306690738754696e-16,0.016705376868917376
0.5,2.0,0.8646647167633873,0.03234017785130905,5.551115123125783e-16,0.016170088925654524
0.5,2.025,0.8680061568121697,0.03129750721771307,2.220446049250313e-16,0.015648753608856588
0.5,2.0500000000000003,0.8712650964121958,0.03028254556728527,2.220446049250313e-16,0.015141272783642676
0.5,2.075,0.8744435725068028,0.029295043823424294,5.551115123125783e-16,0.014647521911712123
0.5,2.1,0.8775435717470181,0.02833470638388147,5.551115123125783e-16,0.01416735319194073
0.5,2.125,0.8805670317332803,0.02740119685735154,6.661338147750939e-16,0.013700598428675787
0.5,2.15,0.883515842226503,0.026494143298149586,3.3306690738754696e-16,0.013247071649074774
0.5,2.1750000000000003,0.8863918463292363,0.02561314297845918,3.3306690738754696e-16,0.012806571489229548
0.5,2.2,0.8891968416376661,0.024757766734665232,9.992007221626409e-16,0.012378883367332595
0.5,2.225,0.8919325813651707,0.023927562921528978,6.661338147750939e-16,0.011963781460764461
0.5,2.25,0.8946007754381357,0.02312206100541725,7.771561172376096e-16,0.011561030502708583
0.5,2.275,0.8972030915647136,0.02234077482543495,3.3306690738754696e-16,0.011170387412717477
