n,alpha,gamma,p0,pn,c,R,neg,R_env,neg_env,purity,purity_env,x,z,p_success,witness
2,0.2,0.0,0.040000000000000084,0.9600000000000003,0.19595917942265448,0.3119183588453087,0.19595917942265473,0.0,2.220446049250313e-16,1.0000000000000007,1.0000000000000009,0.3919183588453088,-0.9199999999999998,1.0000000000000004,0.31191835884530894
2,0.2,0.0025,0.04000600000000008,0.9552059999999998,0.19546928147409778,0.31092656294819543,0.1930752814740977,0.0009677958971132661,-1.1102230246251565e-16,0.9904469249439998,0.9904469249439996,0.39281938214992945,-0.91960305944864,0.9952119999999999,0.31092656294819543
2,0.2,0.005,0.04002400000000009,0.9504240000000009,0.19497938352554128,0.30991076705108234,0.19020338352554178,0.0019115917942265082,4.440892098500626e-16,0.980987240704002,0.980987240704002,0.39371957644528754,-0.9191800074309806,0.990448000000001,0.30991076705108256
2,0.2,0.0075,0.04005400000000008,0.9456540000000003,0.1944894855769846,0.308870971153969,0.18734348557698477,0.0028313876913397262,2.220446049250313e-16,0.9716202612640008,0.9716202612640009,0.3946188639576518,-0.9187304962524397,0.9857080000000004,0.308870971153969
2,0.2,0.01,0.04009600000000012,0.9408960000000006,0.19399958762842806,0.30780717525685586,0.18449558762842844,0.0037271835884531423,4.440892098500626e-16,0.9623453040640014,0.9623453040640014,0.3955171655394293,-0.9182541753653444,0.9809920000000008,0.30780717525685586
2,0.2,0.0125,0.04015000000000005,0.9361500000000003,0.19350968967987123,0.3067193793597425,0.18165968967987145,0.004598979485566312,1.1102230246251565e-16,0.9531616900000006,0.9531616900000006,0.3964144006552723,-0.9177506913858444,0.9763000000000003,0.3067193793597425
2,0.2,0.015,0.04021600000000012,0.9314160000000004,0.19301979173131475,0.3056075834626293,0.17883579173131503,0.0054467753826796805,2.220446049250313e-16,0.9440687434240009,0.944068743424001,0.39731048736829305,-0.9172196881123715,0.9716320000000005,0.3056075834626293
2,0.2,0.0175,0.04029400000000009,0.9266940000000002,0.19252989378275803,0.30447178756551585,0.17602389378275818,0.006270571279792803,1.1102230246251565e-16,0.9350657921440007,0.9350657921440005,0.3982053423263949,-0.916660806545686,0.9669880000000003,0.30447178756551585
2,0.2,0.02,0.040384000000000086,0.9219839999999999,0.19203999583420134,0.3033119916684024,0.17322399583420134,0.007070367176906123,0.0,0.926152167424,0.9261521674239999,0.3990988807487392,-0.9160736849105537,0.962368,0.3033119916684026
2,0.2,0.0225,0.040486000000000084,0.9172860000000008,0.1915500978856448,0.3021281957712896,0.1704360978856453,0.007846163074019419,4.440892098500626e-16,0.9173272039840017,0.9173272039840016,0.39999101641234996,-0.915457958679101,0.957772000000001,0.30212819577128935
2,0.2,0.025,0.04060000000000012,0.9126000000000009,0.19106019993708825,0.3009203998741763,0.1676601999370888,0.008597958971132691,5.551115123125783e-16,0.9085902400000018,0.9085902400000019,0.4008816616388755,-0.9148132605958874,0.9532000000000009,0.3009203998741763
2,0.2,0.0275,0.04072600000000008,0.9079259999999999,0.19057030198853145,0.29968860397706276,0.16489630198853145,0.009325754868245939,0.0,0.899940617104,0.899940617104,0.4017707272815141,-0.9141392207047472,0.9486519999999999,0.29968860397706276
2,0.2,0.03,0.04086400000000008,0.9032640000000004,0.19008040403997487,0.29843280807994965,0.1621444040399751,0.010029550765359163,2.220446049250313e-16,0.8913776803840009,0.8913776803840009,0.40265812271212115,-0.9134354663774402,0.9441280000000005,0.29843280807994943
2,0.2,0.0325,0.041014000000000085,0.8986140000000002,0.1895905060914182,0.2971530121828363,0.15940450609141843,0.010709346662472585,1.1102230246251565e-16,0.8829007783840006,0.8829007783840004,0.4035437558085075,-0.9127016223441615,0.9396280000000004,0.2971530121828363
2,0.2,0.035,0.04117600000000012,0.8939760000000008,0.1891006081428617,0.29584921628572314,0.1566766081428621,0.011365142559585761,4.440892098500626e-16,0.8745092631040017,0.8745092631040016,0.4044275329419421,-0.9119373107259567,0.9351520000000009,0.29584921628572314
2,0.2,0.0375,0.04135000000000008,0.8893500000000004,0.18861071019430495,0.29452142038860973,0.15396071019430524,0.011996938456699136,2.220446049250313e-16,0.8662024900000009,0.8662024900000008,0.4053093589648756,-0.9111421510690876,0.9307000000000005,0.29452142038860973
2,0.2,0.04,0.04153600000000009,0.8847360000000006,0.18812081224574834,0.2931696244914965,0.15125681224574872,0.012604734353812264,4.440892098500626e-16,0.8579798179840012,0.8579798179840014,0.4061891371988966,-0.9103157603813997,0.9262720000000008,0.2931696244914963
2,0.2,0.0425,0.041734000000000084,0.8801340000000001,0.18763091429719164,0.2917938285943831,0.14856491429719165,0.01318853025092559,1.1102230246251565e-16,0.8498406094240002,0.8498406094240004,0.40706676942293607,-0.9094577531707357,0.9218680000000001,0.2917938285943833
2,0.2,0.045,0.041944000000000085,0.8755440000000005,0.18714101634863506,0.2903940326972698,0.14588501634863538,0.013748326148038892,4.440892098500626e-16,0.8417842301440012,0.8417842301440014,0.4079421558617332,-0.9085677414854472,0.9174880000000006,0.29039403269727004
2,0.2,0.0475,0.04216600000000005,0.8709660000000002,0.1866511184000783,0.28897023680015654,0.14321711840007845,0.01428412204515217,1.1102230246251565e-16,0.8338100494240005,0.8338100494240005,0.4088151951745821,-0.9076453349570488,0.9131320000000003,0.28897023680015654
2,0.2,0.05,0.04240000000000008,0.8664,0.18616122045152173,0.28752244090304324,0.14056122045152175,0.014795917942265424,0.0,0.82591744,0.82591744,0.40968578444437,-0.9066901408450703,0.9088,0.28752244090304324
2,0.2,0.0525,0.04264600000000009,0.8618460000000002,0.1856713225029651,0.2860506450059299,0.1379173225029653,0.015283713839378654,1.1102230246251565e-16,0.8181057780640005,0.8181057780640005,0.41055381916692474,-0.9057017640841487,0.9044920000000003,0.28605064500593014
2,0.2,0.055,0.04290400000000009,0.8573040000000003,0.18518142455440847,0.2845548491088168,0.13528542455440862,0.015747509736492082,2.220446049250313e-16,0.8103744432640005,0.8103744432640005,0.4114191932406919,-0.9046798073334161,0.9002080000000003,0.2845548491088168
2,0.2,0.0575,0.04317400000000012,0.8527740000000011,0.18469152660585203,0.28303505321170386,0.13266552660585262,0.016187305633605265,6.661338147750939e-16,0.8027228187040022,0.8027228187040023,0.41228179895675143,-0.9036238710282292,0.8959480000000013,0.28303505321170364
2,0.2,0.06,0.043456000000000085,0.8482560000000002,0.1842016286572952,0.28149125731459024,0.1300576286572953,0.016603101530718423,1.1102230246251565e-16,0.7951502909440005,0.7951502909440004,0.4131415269891964,-0.9025335534342925,0.8917120000000003,0.28149125731459024
