state,n,gamma,R,closed,concurrence
Phi+,2,0.0,6.661338147750939e-16,0.0,1.0000000000000007
Phi+,2,0.025,0.0243750000000007,0.024375,0.9506250000003597
Phi+,2,0.05,0.047500000000000986,0.0475,0.9024999999999802
Phi+,2,0.07500000000000001,0.06937500000000107,0.06937500000000002,0.8556250000000053
Phi+,2,0.1,0.09000000000000097,0.09000000000000001,0.8100000000000022
Phi+,2,0.125,0.10937500000000089,0.109375,0.7656250000000006
Phi+,2,0.15000000000000002,0.12750000000000106,0.1275,0.7225
Phi+,2,0.17500000000000002,0.1443750000000008,0.144375,0.680624999999997
Phi+,2,0.2,0.1600000000000008,0.16000000000000003,0.6400000000000005
Phi+,2,0.225,0.1743750000000024,0.174375,0.6006250000000006
Phi+,2,0.25,0.18750000000000133,0.1875,0.5625
Phi+,2,0.275,0.19937500000000097,0.199375,0.5256250000000007
Phi+,2,0.30000000000000004,0.2100000000000013,0.21000000000000002,0.4899999999999982
Phi+,2,0.325,0.2193750000000012,0.21937500000000001,0.4556250000000006
Phi+,2,0.35000000000000003,0.2275000000000007,0.22749999999999998,0.4225000000000006
Phi+,2,0.375,0.23437500000000067,0.234375,0.39062500000000067
Phi+,2,0.4,0.24000000000000088,0.24,0.3600000000000007
Phi+,2,0.42500000000000004,0.24437500000000112,0.244375,0.3306249999999997
Phi+,2,0.45,0.2475000000000005,0.24750000000000003,0.3024999999999995
Phi+,2,0.47500000000000003,0.2493750000000008,0.24937499999999999,0.2756249999999997
Phi+,2,0.5,0.25000000000000133,0.25,0.24999999999999964
Phi+,2,0.525,0.2493750000000008,0.24937499999999999,0.22562499999999963
Phi+,2,0.55,0.24750000000000205,0.2475,0.20249999999999996
Phi+,2,0.5750000000000001,0.24437500000000112,0.24437499999999998,0.18062500000000012
Phi+,2,0.6000000000000001,0.24000000000000088,0.24,0.16000000000000025
Phi+,2,0.625,0.2343750000000011,0.234375,0.14062499999999978
Phi+,2,0.65,0.2275000000000007,0.22749999999999998,0.12249999999999994
Phi+,2,0.675,0.21937500000000076,0.219375,0.10562499999999994
Phi+,2,0.7000000000000001,0.21000000000000152,0.20999999999999996,0.09000000000000008
Phi+,2,0.7250000000000001,0.19937500000000097,0.19937499999999997,0.07562499999999994
Phi+,2,0.75,0.18750000000000155,0.1875,0.06250000000000017
Phi+,2,0.775,0.17437500000000083,0.17437499999999997,0.050624999999999934
Phi+,2,0.8,0.16000000000000192,0.15999999999999998,0.04000000000000001
Phi+,2,0.8250000000000001,0.14437500000000103,0.14437499999999995,0.030624999999999902
Phi+,2,0.8500000000000001,0.1275000000000004,0.12749999999999995,0.02249999999999996
Phi+,2,0.875,0.10937500000000089,0.109375,0.01562499999999999
Phi+,2,0.9,0.09000000000000052,0.08999999999999998,0.010000000000000026
Phi+,2,0.925,0.06937500000000063,0.06937499999999996,0.005624999999999956
Phi+,2,0.9500000000000001,0.0475000000000001,0.04749999999999994,0.002500000000000016
Phi+,2,0.9750000000000001,0.0243750000000007,0.024374999999999914,0.0006249999999999867
Phi+,2,1.0,4.440892098500626e-16,0.0,0.0
Psi+,2,0.0,8.881784197001252e-16,0.0,1.0000000000000007
Psi+,2,0.025,1.5543122344752192e-15,0.0,0.9749999937348349
Psi+,2,0.05,8.881784197001252e-16,0.0,0.9500000000000006
Psi+,2,0.07500000000000001,1.1102230246251565e-15,0.0,0.9250000000000008
Psi+,2,0.1,1.3322676295501878e-15,0.0,0.8999999937348343
Psi+,2,0.125,8.881784197001252e-16,0.0,0.8750000000000004
Psi+,2,0.15000000000000002,1.1102230246251565e-15,0.0,0.8499999937348345
Psi+,2,0.17500000000000002,1.1102230246251565e-15,0.0,0.8250000000000006
Psi+,2,0.2,1.1102230246251565e-15,0.0,0.8000000000000008
Psi+,2,0.225,1.7763568394002505e-15,0.0,0.774999993734835
Psi+,2,0.25,1.1102230246251565e-15,0.0,0.7500000000000009
Psi+,2,0.275,1.3322676295501878e-15,0.0,0.7250000000000003
Psi+,2,0.30000000000000004,1.3322676295501878e-15,0.0,0.7000000000000005
Psi+,2,0.325,1.3322676295501878e-15,0.0,0.6749999955698591
Psi+,2,0.35000000000000003,6.661338147750939e-16,0.0,0.6500000000000001
Psi+,2,0.375,6.661338147750939e-16,0.0,0.6250000000000004
Psi+,2,0.4,8.881784197001252e-16,0.0,0.5999999955698586
Psi+,2,0.42500000000000004,1.3322676295501878e-15,0.0,0.574999995569859
Psi+,2,0.45,4.440892098500626e-16,0.0,0.55
Psi+,2,0.47500000000000003,6.661338147750939e-16,0.0,0.5249999999999997
Psi+,2,0.5,8.881784197001252e-16,0.0,0.5000000000000003
Psi+,2,0.525,8.881784197001252e-16,0.0,0.47499999686741706
Psi+,2,0.55,1.7763568394002505e-15,0.0,0.4500000000000005
Psi+,2,0.5750000000000001,1.1102230246251565e-15,0.0,0.4250000000000003
