n,alpha,gamma,witness,se,exact,p0,pn,c,certified
2,0.4,0.02,0.40290000000000004,0.007123981357051602,0.3978758689690758,0.1601,0.80565,0.36155,1
2,0.4,0.06,0.3761000000000001,0.007256502223221997,0.3631713845213582,0.1588,0.7436,0.34685,1
2,0.4,0.1,0.32589999999999986,0.007486728879897485,0.32309090007364083,0.16875,0.6804,0.3317,1
2,0.4,0.13999999999999999,0.29590000000000005,0.007616923907491502,0.2776344156259234,0.17605,0.62,0.324,1
2,0.4,0.18,0.2290000000000001,0.0078889022214715,0.22680193117820613,0.18895,0.56355,0.30345,1
2,0.4,0.22,0.17870000000000008,0.008078590057489354,0.1705934467304886,0.2019,0.5084,0.29125,1
2,0.4,0.26,0.10230000000000006,0.00834374969714309,0.10900896228277146,0.22025,0.458,0.2714,1
2,0.4,0.30000000000000004,0.03930000000000011,0.008542593329191049,0.042048477835054054,0.2327,0.4066,0.25235,1
2,0.4,0.34,-0.03410000000000002,0.008756531668557086,-0.03028800661266351,0.2601,0.36395,0.24305,0
2,0.4,0.38,-0.09609999999999996,0.008919768834106783,-0.10800049106038079,0.2799,0.3213,0.23185,0
2,0.4,0.42000000000000004,-0.13550000000000006,0.009017406432226685,-0.13988897550809798,0.30935,0.28055,0.2128,0
2,0.4,0.46,-0.09360000000000002,0.008900396219958053,-0.09395345995581561,0.33285,0.2486,0.2018,0
2,0.4,0.5,-0.05699999999999994,0.008748775287310297,-0.053393944403532734,0.371,0.2088,0.1803,0
2,0.4,0.54,-0.018099999999999894,0.008572196813554301,-0.018210428851250016,0.4067,0.1768,0.16775,0
2,0.4,0.5800000000000001,0.028900000000000148,0.008347516675235344,0.011597086701032433,0.4423,0.1446,0.15905,1
2,0.4,0.62,0.02859999999999996,0.00824025065435162,0.03602860225331517,0.4753,0.124,0.1383,1
2,0.4,0.66,0.04380000000000006,0.008048485569138012,0.055084117805597854,0.52705,0.09775,0.11965,1
2,0.4,0.7000000000000001,0.05269999999999997,0.007868919962465864,0.06876363335788027,0.57125,0.07575,0.1021,1
2,0.4,0.74,0.06780000000000008,0.007677080341533069,0.07706714891016286,0.6277,0.05585,0.08975,1
2,0.4,0.78,0.07889999999999997,0.00751284235560936,0.07999466446244541,0.66915,0.04015,0.0796,1
2,0.4,0.8200000000000001,0.08450000000000002,0.007372517560574816,0.07754618001472813,0.72835,0.02735,0.0696,1
2,0.4,0.86,0.06899999999999995,0.007266151643344996,0.0697216955670108,0.781,0.0169,0.0514,1
2,0.4,0.9,0.05610000000000004,0.007179696772753529,0.056521211119293424,0.8398,0.0092,0.03725,1
2,0.4,0.9400000000000001,0.03709999999999991,0.0071162310722835374,0.037944726671576,0.9027,0.0037,0.02225,1
2,0.4,0.98,0.015700000000000047,0.007076629207191216,0.013992242223858753,0.9673,0.00045,0.0083,1
4,0.2,0.02,0.28580000000000005,0.007158525764251734,0.29639808463503425,0.0423,0.8831,0.1852,1
4,0.2,0.06,0.2761,0.007166893460802519,0.26627417867571435,0.0402,0.75005,0.17825,1
4,0.2,0.1,0.2410000000000001,0.0072547729650047415,0.23726187066469984,0.04085,0.6295,0.16135,1
4,0.2,0.13999999999999999,0.21220000000000017,0.007296347081494731,0.2091252310019902,0.0386,0.5185,0.1447,1
4,0.2,0.18,0.1886000000000001,0.0073393156372580926,0.18151036528758557,0.0384,0.438,0.1327,1
4,0.2,0.22,0.1609999999999998,0.007428465359337669,0.15394541432148579,0.043,0.3596,0.1235,1
4,0.2,0.26,0.12839999999999985,0.007487775247357036,0.12584055410369088,0.04395,0.2828,0.10815,1
4,0.2,0.30000000000000004,0.10610000000000008,0.007559196710077406,0.09648799583420109,0.0483,0.2299,0.10135,1
4,0.2,0.34,0.08079999999999998,0.00762214559561637,0.06506198591301637,0.0516,0.18495,0.092,1
4,0.2,0.38,0.018000000000000016,0.007780567239021077,0.030618805940136662,0.0614,0.14135,0.0704,1
4,0.2,0.42000000000000004,-0.025500000000000078,0.007921146120531936,-0.007903227284438374,0.07255,0.10495,0.0598,0
4,0.2,0.46,-0.0504,0.008032468736529583,-0.04897528176070809,0.08275,0.08295,0.05755,0
4,0.2,0.5,-0.025900000000000145,0.0077984711083523535,-0.022020410288672854,0.0983,0.05985,0.0469,0
4,0.2,0.54,-0.016100000000000114,0.007601659571028664,-0.003037230468332708,0.1227,0.0418,0.03375,0
4,0.2,0.5800000000000001,0.01419999999999999,0.007469768688737166,0.009389835300312344,0.1471,0.03145,0.03855,0
4,0.2,0.62,0.006800000000000139,0.007341948134699717,0.01655839981726248,0.18215,0.0205,0.0239,0
4,0.2,0.66,0.017300000000000093,0.00723365628693843,0.01964811108251774,0.2206,0.0122,0.02085,1
4,0.2,0.7000000000000001,0.01869999999999994,0.0071764200452912675,0.01972065229607778,0.27025,0.00785,0.0172,1
4,0.2,0.74,0.0230999999999999,0.007131375395586509,0.017719741857942894,0.3283,0.00455,0.0161,1
4,0.2,0.78,0.0021999999999999797,0.007111794285902697,0.014471133368112898,0.40045,0.0029,0.004,0
