n,state,k_star,learned,copies,negatives
4,0,4,1,17,0
4,1,4,1,17,0
4,2,6,1,25,0
4,3,4,1,17,0
4,4,4,1,17,0
4,5,4,1,17,0
4,6,4,1,17,0
4,7,5,1,21,0
4,8,8,1,33,0
4,9,5,1,21,0
4,10,6,1,25,1
4,11,0,0,-1,-1
4,12,8,1,33,2
4,13,6,1,25,0
4,14,5,1,21,0
4,15,6,1,25,1
4,16,6,1,25,0
4,17,4,1,17,0
4,18,6,1,25,0
4,19,5,1,21,0
4,20,5,1,21,2
4,21,4,1,17,2
4,22,4,1,17,0
4,23,5,1,21,1
4,24,7,1,29,1
4,25,9,1,37,0
4,26,4,1,17,3
4,27,6,1,25,1
4,28,8,1,33,2
4,29,6,1,25,1
4,30,4,1,17,0
4,31,7,1,29,1
4,32,5,1,21,2
4,33,4,1,17,0
4,34,5,1,21,1
4,35,11,1,45,1
4,36,5,1,21,0
4,37,6,1,25,0
4,38,4,1,17,0
4,39,5,1,21,1
4,40,5,1,21,0
4,41,9,1,37,0
4,42,5,1,21,0
4,43,5,1,21,2
4,44,5,1,21,1
4,45,5,1,21,1
4,46,7,1,29,0
4,47,5,1,21,1
4,48,9,1,37,1
4,49,5,1,21,0
4,50,4,1,17,0
4,51,4,1,17,0
4,52,4,1,17,0
4,53,4,1,17,0
4,54,5,1,21,0
4,55,10,1,41,0
4,56,4,1,17,0
4,57,7,1,29,2
4,58,5,1,21,1
4,59,5,1,21,2
4,60,4,1,17,0
4,61,9,1,37,0
4,62,6,1,25,0
4,63,4,1,17,0
4,64,5,1,21,1
4,65,11,1,45,1
4,66,5,1,21,1
4,67,4,1,17,0
4,68,4,1,17,0
4,69,4,1,17,1
4,70,4,1,17,1
4,71,5,1,21,0
4,72,5,1,21,1
4,73,5,1,21,1
4,74,8,1,33,0
4,75,4,1,17,1
4,76,6,1,25,0
4,77,4,1,17,0
4,78,4,1,17,2
4,79,9,1,37,1
4,80,4,1,17,0
4,81,4,1,17,1
4,82,5,1,21,0
4,83,9,1,37,2
4,84,4,1,17,1
4,85,7,1,29,0
